realtime_start,realtime_end,value,date
2018-12-12,2018-12-12,30437,1992-01-01
2018-12-12,2018-12-12,30382,1992-02-01
2018-12-12,2018-12-12,30526,1992-03-01
2018-12-12,2018-12-12,30602,1992-04-01
2018-12-12,2018-12-12,30718,1992-05-01
2018-12-12,2018-12-12,30761,1992-06-01
2018-12-12,2018-12-12,30963,1992-07-01
2018-12-12,2018-12-12,31041,1992-08-01
2018-12-12,2018-12-12,30942,1992-09-01
2018-12-12,2018-12-12,31148,1992-10-01
2018-12-12,2018-12-12,30992,1992-11-01
2018-12-12,2018-12-12,31057,1992-12-01
2018-12-12,2018-12-12,31045,1993-01-01
2018-12-12,2018-12-12,31233,1993-02-01
2018-12-12,2018-12-12,31058,1993-03-01
2018-12-12,2018-12-12,31129,1993-04-01
2018-12-12,2018-12-12,31164,1993-05-01
2018-12-12,2018-12-12,31168,1993-06-01
2018-12-12,2018-12-12,31349,1993-07-01
2018-12-12,2018-12-12,31126,1993-08-01
2018-12-12,2018-12-12,31201,1993-09-01
2018-12-12,2018-12-12,31346,1993-10-01
2018-12-12,2018-12-12,31363,1993-11-01
2018-12-12,2018-12-12,31499,1993-12-01
2018-12-12,2018-12-12,31468,1994-01-01
2018-12-12,2018-12-12,31688,1994-02-01
2018-12-12,2018-12-12,31700,1994-03-01
2018-12-12,2018-12-12,31899,1994-04-01
2018-12-12,2018-12-12,31858,1994-05-01
2018-12-12,2018-12-12,32123,1994-06-01
2018-12-12,2018-12-12,31964,1994-07-01
2018-12-12,2018-12-12,32222,1994-08-01
2018-12-12,2018-12-12,32401,1994-09-01
2018-12-12,2018-12-12,32196,1994-10-01
2018-12-12,2018-12-12,32370,1994-11-01
2018-12-12,2018-12-12,32294,1994-12-01
2018-12-12,2018-12-12,32625,1995-01-01
2018-12-12,2018-12-12,32399,1995-02-01
2018-12-12,2018-12-12,32415,1995-03-01
2018-12-12,2018-12-12,32312,1995-04-01
2018-12-12,2018-12-12,32540,1995-05-01
2018-12-12,2018-12-12,32597,1995-06-01
2018-12-12,2018-12-12,32466,1995-07-01
2018-12-12,2018-12-12,32547,1995-08-01
2018-12-12,2018-12-12,32625,1995-09-01
2018-12-12,2018-12-12,32578,1995-10-01
2018-12-12,2018-12-12,32744,1995-11-01
2018-12-12,2018-12-12,32903,1995-12-01
2018-12-12,2018-12-12,33085,1996-01-01
2018-12-12,2018-12-12,32928,1996-02-01
2018-12-12,2018-12-12,33076,1996-03-01
2018-12-12,2018-12-12,33174,1996-04-01
2018-12-12,2018-12-12,33178,1996-05-01
2018-12-12,2018-12-12,33281,1996-06-01
2018-12-12,2018-12-12,33470,1996-07-01
2018-12-12,2018-12-12,33542,1996-08-01
2018-12-12,2018-12-12,33494,1996-09-01
2018-12-12,2018-12-12,33704,1996-10-01
2018-12-12,2018-12-12,33734,1996-11-01
2018-12-12,2018-12-12,33819,1996-12-01
2018-12-12,2018-12-12,34049,1997-01-01
2018-12-12,2018-12-12,33989,1997-02-01
2018-12-12,2018-12-12,34156,1997-03-01
2018-12-12,2018-12-12,34056,1997-04-01
2018-12-12,2018-12-12,33978,1997-05-01
2018-12-12,2018-12-12,33892,1997-06-01
2018-12-12,2018-12-12,34106,1997-07-01
2018-12-12,2018-12-12,34256,1997-08-01
2018-12-12,2018-12-12,34281,1997-09-01
2018-12-12,2018-12-12,34348,1997-10-01
2018-12-12,2018-12-12,34230,1997-11-01
2018-12-12,2018-12-12,34190,1997-12-01
2018-12-12,2018-12-12,34126,1998-01-01
2018-12-12,2018-12-12,34102,1998-02-01
2018-12-12,2018-12-12,34275,1998-03-01
2018-12-12,2018-12-12,34374,1998-04-01
2018-12-12,2018-12-12,34534,1998-05-01
2018-12-12,2018-12-12,34592,1998-06-01
2018-12-12,2018-12-12,34856,1998-07-01
2018-12-12,2018-12-12,34950,1998-08-01
2018-12-12,2018-12-12,34916,1998-09-01
2018-12-12,2018-12-12,35093,1998-10-01
2018-12-12,2018-12-12,35140,1998-11-01
2018-12-12,2018-12-12,35533,1998-12-01
2018-12-12,2018-12-12,35447,1999-01-01
2018-12-12,2018-12-12,35707,1999-02-01
2018-12-12,2018-12-12,35652,1999-03-01
2018-12-12,2018-12-12,36013,1999-04-01
2018-12-12,2018-12-12,36060,1999-05-01
2018-12-12,2018-12-12,35872,1999-06-01
2018-12-12,2018-12-12,36126,1999-07-01
2018-12-12,2018-12-12,36117,1999-08-01
2018-12-12,2018-12-12,36411,1999-09-01
2018-12-12,2018-12-12,36271,1999-10-01
2018-12-12,2018-12-12,36300,1999-11-01
2018-12-12,2018-12-12,37665,1999-12-01
2018-12-12,2018-12-12,35613,2000-01-01
2018-12-12,2018-12-12,35980,2000-02-01
2018-12-12,2018-12-12,36559,2000-03-01
2018-12-12,2018-12-12,37008,2000-04-01
2018-12-12,2018-12-12,36717,2000-05-01
2018-12-12,2018-12-12,37175,2000-06-01
2018-12-12,2018-12-12,37038,2000-07-01
2018-12-12,2018-12-12,37110,2000-08-01
2018-12-12,2018-12-12,37308,2000-09-01
2018-12-12,2018-12-12,37476,2000-10-01
2018-12-12,2018-12-12,37700,2000-11-01
2018-12-12,2018-12-12,38033,2000-12-01
2018-12-12,2018-12-12,37903,2001-01-01
2018-12-12,2018-12-12,38252,2001-02-01
2018-12-12,2018-12-12,38133,2001-03-01
2018-12-12,2018-12-12,38369,2001-04-01
2018-12-12,2018-12-12,38439,2001-05-01
2018-12-12,2018-12-12,38569,2001-06-01
2018-12-12,2018-12-12,38506,2001-07-01
2018-12-12,2018-12-12,38738,2001-08-01
2018-12-12,2018-12-12,38832,2001-09-01
2018-12-12,2018-12-12,38944,2001-10-01
2018-12-12,2018-12-12,39161,2001-11-01
2018-12-12,2018-12-12,38996,2001-12-01
2018-12-12,2018-12-12,38833,2002-01-01
2018-12-12,2018-12-12,38885,2002-02-01
2018-12-12,2018-12-12,38913,2002-03-01
2018-12-12,2018-12-12,38568,2002-04-01
2018-12-12,2018-12-12,38713,2002-05-01
2018-12-12,2018-12-12,38723,2002-06-01
2018-12-12,2018-12-12,38834,2002-07-01
2018-12-12,2018-12-12,38647,2002-08-01
2018-12-12,2018-12-12,38599,2002-09-01
2018-12-12,2018-12-12,38693,2002-10-01
2018-12-12,2018-12-12,38886,2002-11-01
2018-12-12,2018-12-12,39072,2002-12-01
2018-12-12,2018-12-12,39412,2003-01-01
2018-12-12,2018-12-12,39285,2003-02-01
2018-12-12,2018-12-12,39318,2003-03-01
2018-12-12,2018-12-12,39441,2003-04-01
2018-12-12,2018-12-12,39019,2003-05-01
2018-12-12,2018-12-12,39480,2003-06-01
2018-12-12,2018-12-12,39808,2003-07-01
2018-12-12,2018-12-12,39833,2003-08-01
2018-12-12,2018-12-12,39878,2003-09-01
2018-12-12,2018-12-12,39776,2003-10-01
2018-12-12,2018-12-12,39631,2003-11-01
2018-12-12,2018-12-12,39809,2003-12-01
2018-12-12,2018-12-12,40443,2004-01-01
2018-12-12,2018-12-12,39922,2004-02-01
2018-12-12,2018-12-12,40419,2004-03-01
2018-12-12,2018-12-12,40399,2004-04-01
2018-12-12,2018-12-12,40635,2004-05-01
2018-12-12,2018-12-12,40608,2004-06-01
2018-12-12,2018-12-12,40631,2004-07-01
2018-12-12,2018-12-12,40771,2004-08-01
2018-12-12,2018-12-12,41045,2004-09-01
2018-12-12,2018-12-12,41177,2004-10-01
2018-12-12,2018-12-12,41404,2004-11-01
2018-12-12,2018-12-12,41534,2004-12-01
2018-12-12,2018-12-12,41691,2005-01-01
2018-12-12,2018-12-12,41757,2005-02-01
2018-12-12,2018-12-12,41800,2005-03-01
2018-12-12,2018-12-12,42283,2005-04-01
2018-12-12,2018-12-12,42081,2005-05-01
2018-12-12,2018-12-12,42363,2005-06-01
2018-12-12,2018-12-12,42184,2005-07-01
2018-12-12,2018-12-12,42542,2005-08-01
2018-12-12,2018-12-12,42845,2005-09-01
2018-12-12,2018-12-12,42842,2005-10-01
2018-12-12,2018-12-12,42823,2005-11-01
2018-12-12,2018-12-12,43191,2005-12-01
2018-12-12,2018-12-12,42681,2006-01-01
2018-12-12,2018-12-12,43379,2006-02-01
2018-12-12,2018-12-12,43233,2006-03-01
2018-12-12,2018-12-12,43269,2006-04-01
2018-12-12,2018-12-12,43654,2006-05-01
2018-12-12,2018-12-12,43782,2006-06-01
2018-12-12,2018-12-12,43827,2006-07-01
2018-12-12,2018-12-12,44160,2006-08-01
2018-12-12,2018-12-12,43846,2006-09-01
2018-12-12,2018-12-12,44542,2006-10-01
2018-12-12,2018-12-12,44572,2006-11-01
2018-12-12,2018-12-12,44730,2006-12-01
